aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip,tds_mph,cds_mph,ads_mph
2109,Tseltal,Tseltal,CAS,random-5,7,13.928571428571429,8.62473932153252,2,1.524,1.524,16.56
2109,Tseltal,Tseltal,CAS,random-6,7,13.928571428571429,8.62473932153252,1,0.192,0.192,0
2109,Tseltal,Tseltal,CAS,random-7,7,13.928571428571429,8.62473932153252,1,9.468,9.468,0
2109,Tseltal,Tseltal,CAS,random-8,7,13.928571428571429,8.62473932153252,1,4.0920000000000005,4.0920000000000005,0
2109,Tseltal,Tseltal,CAS,random-9,7,13.928571428571429,8.62473932153252,2,4.68,4.68,8.472
2534,Arg_Spanish,Arg_Spanish,ROS,1,9,13.928571428571429,8.62473932153252,1,0,0,24.66
2534,Arg_Spanish,Arg_Spanish,ROS,10,9,13.928571428571429,8.62473932153252,2,7.32,7.32,0
2534,Arg_Spanish,Arg_Spanish,ROS,11,9,13.928571428571429,8.62473932153252,2,2.49,2.49,0.51
2534,Arg_Spanish,Arg_Spanish,ROS,12,9,13.928571428571429,8.62473932153252,3,11.7,11.7,35.4
2534,Arg_Spanish,Arg_Spanish,ROS,13,9,13.928571428571429,8.62473932153252,2,7.44,7.44,4.2299999999999995
2534,Arg_Spanish,Arg_Spanish,ROS,14,9,13.928571428571429,8.62473932153252,2,10.65,10.65,4.050000000000001
2534,Arg_Spanish,Arg_Spanish,ROS,15,9,13.928571428571429,8.62473932153252,5,1.5,1.5,52.86
2534,Arg_Spanish,Arg_Spanish,ROS,2,9,13.928571428571429,8.62473932153252,2,4.319999999999999,4.319999999999999,13.38
2534,Arg_Spanish,Arg_Spanish,ROS,3,9,13.928571428571429,8.62473932153252,1,2.34,2.34,0
2534,Arg_Spanish,Arg_Spanish,ROS,4,9,13.928571428571429,8.62473932153252,2,7.890000000000001,7.890000000000001,3.87
2534,Arg_Spanish,Arg_Spanish,ROS,5,9,13.928571428571429,8.62473932153252,2,5.04,5.04,1.74
2534,Arg_Spanish,Arg_Spanish,ROS,6,9,13.928571428571429,8.62473932153252,2,1.14,1.14,0
2534,Arg_Spanish,Arg_Spanish,ROS,7,9,13.928571428571429,8.62473932153252,2,10.59,10.59,3.63
2534,Arg_Spanish,Arg_Spanish,ROS,8,9,13.928571428571429,8.62473932153252,3,4.26,4.26,0.63
2534,Arg_Spanish,Arg_Spanish,ROS,9,9,13.928571428571429,8.62473932153252,1,6.78,6.78,0
2535,NA_English,NA_English,WAR,1,3,13.928571428571429,8.62473932153252,2,23.4,23.4,17.49
2535,NA_English,NA_English,WAR,10,3,13.928571428571429,8.62473932153252,1,3.78,3.78,5.55
2535,NA_English,NA_English,WAR,11,3,13.928571428571429,8.62473932153252,2,0,0,31.32
2535,NA_English,NA_English,WAR,12,3,13.928571428571429,8.62473932153252,1,3.39,3.39,0.63
2535,NA_English,NA_English,WAR,13,3,13.928571428571429,8.62473932153252,1,36.06,36.06,0
2535,NA_English,NA_English,WAR,14,3,13.928571428571429,8.62473932153252,2,0,0,47.129999999999995
2535,NA_English,NA_English,WAR,15,3,13.928571428571429,8.62473932153252,0,0,0,0
2535,NA_English,NA_English,WAR,2,3,13.928571428571429,8.62473932153252,2,8.91,8.91,8.16
2535,NA_English,NA_English,WAR,3,3,13.928571428571429,8.62473932153252,2,2.46,2.46,0.93
2535,NA_English,NA_English,WAR,4,3,13.928571428571429,8.62473932153252,0,0,0,0
2535,NA_English,NA_English,WAR,5,3,13.928571428571429,8.62473932153252,2,1.68,1.68,47.7
2535,NA_English,NA_English,WAR,6,3,13.928571428571429,8.62473932153252,2,1.05,1.05,44.64
2535,NA_English,NA_English,WAR,7,3,13.928571428571429,8.62473932153252,2,0,0,36.24
2535,NA_English,NA_English,WAR,8,3,13.928571428571429,8.62473932153252,2,0,0,29.97
2535,NA_English,NA_English,WAR,9,3,13.928571428571429,8.62473932153252,2,3.21,3.21,20.1
2625,Tseltal,Tseltal,CAS,random-1,32,13.928571428571429,8.62473932153252,1,0.852,0.996,0
2625,Tseltal,Tseltal,CAS,random-2,32,13.928571428571429,8.62473932153252,2,14.832,17.003999999999998,1.512
2625,Tseltal,Tseltal,CAS,random-3,32,13.928571428571429,8.62473932153252,2,4.896,5.736,2.988
2625,Tseltal,Tseltal,CAS,random-4,32,13.928571428571429,8.62473932153252,7,6.132,7.56,2.028
2625,Tseltal,Tseltal,CAS,random-5,32,13.928571428571429,8.62473932153252,4,4.212,4.9319999999999995,5.675999999999999
2625,Tseltal,Tseltal,CAS,random-6,32,13.928571428571429,8.62473932153252,3,1.464,2.352,1.896
2625,Tseltal,Tseltal,CAS,random-7,32,13.928571428571429,8.62473932153252,3,0,12.612,4.9319999999999995
2625,Tseltal,Tseltal,CAS,random-8,32,13.928571428571429,8.62473932153252,3,3.3720000000000003,20.172,11.208000000000002
2625,Tseltal,Tseltal,CAS,random-9,32,13.928571428571429,8.62473932153252,3,0,7.223999999999999,2.7960000000000003
2745,UK_English,UK_English,ROW,1,18,13.928571428571429,8.62473932153252,0,0,0,0
2745,UK_English,UK_English,ROW,10,18,13.928571428571429,8.62473932153252,2,0.8999999999999999,0.8999999999999999,17.099999999999998
2745,UK_English,UK_English,ROW,11,18,13.928571428571429,8.62473932153252,1,14.010000000000002,14.010000000000002,0
2745,UK_English,UK_English,ROW,12,18,13.928571428571429,8.62473932153252,1,2.19,2.19,0
2745,UK_English,UK_English,ROW,13,18,13.928571428571429,8.62473932153252,0,0,0,0
2745,UK_English,UK_English,ROW,14,18,13.928571428571429,8.62473932153252,1,7.32,7.32,0
2745,UK_English,UK_English,ROW,15,18,13.928571428571429,8.62473932153252,1,0.93,0.93,0
2745,UK_English,UK_English,ROW,2,18,13.928571428571429,8.62473932153252,1,0.57,0.57,0
2745,UK_English,UK_English,ROW,3,18,13.928571428571429,8.62473932153252,1,3.48,3.48,0
2745,UK_English,UK_English,ROW,4,18,13.928571428571429,8.62473932153252,1,8.25,8.25,0
2745,UK_English,UK_English,ROW,5,18,13.928571428571429,8.62473932153252,0,0,0,0
