aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,m_n_spkrs,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph
8357,ROW,UK_English,UK_English,British English,F,12,1.6,0.1168,0.21953333333333333,0.21953333333333333,0.19106666666666663,3.5040000000000004,3.084,6.586,5.732
8427,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,F,2,4.222222222222222,0.09633333333333333,0.4127777777777778,0.4127777777777778,0.3917777777777778,2.312,7.594666666666667,9.906666666666668,9.402666666666669
8445,SOD,"NA_English","NA_English",English,F,8,1.9333333333333331,0.3373333333333333,0.3378,0.3378,0.2076666666666667,10.12,0.016,10.134,6.23
8768,SOD,"NA_English","NA_English",English,M,12,1.9333333333333331,0.15373333333333333,0.1738,0.1738,0.3496666666666667,4.612,0.6,5.2139999999999995,10.49
8787,CAS,Tseltal,Tseltal,Tseltal,M,11,3.5555555555555554,0.33255555555555555,0.6898888888888889,0.6898888888888889,1.3064444444444443,3.990666666666667,4.290666666666667,8.278666666666666,15.677333333333332
8788,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,21,1.9333333333333331,0.08426666666666667,0.096,0.096,0.3894666666666667,2.528,0.352,2.88,11.684
8924,SOD,"NA_English","NA_English",English,F,11,2.8666666666666667,0.16373333333333334,0.17173333333333332,0.17173333333333332,0.431,4.912,0.23999999999999996,5.152,12.93
9051,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,19,0.8,0.04653333333333333,0.07866666666666666,0.07866666666666666,0.05286666666666666,1.396,0.962,2.36,1.586
9398,WAR,"NA_English","NA_English",English,F,6,0.8,0.19753333333333337,0.19753333333333337,0.19753333333333337,0.0114,5.925999999999999,0,5.925999999999999,0.342
9408,ROW,UK_English,UK_English,British English,M,27,0.9333333333333332,0.06293333333333334,0.08253333333333333,0.08253333333333333,0.1098,1.888,0.588,2.476,3.294
9426,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,16,2.8,0.11886666666666666,0.26066666666666666,0.26066666666666666,0.1388,3.566,4.252,7.82,4.164
9427,WAR,"NA_English","NA_English",English,M,9,1.8666666666666667,0.0868,0.10253333333333334,0.10253333333333334,0.3399333333333333,2.604,0.47,3.076,10.198
9492,ROW,UK_English,UK_English,British English,F,15,1.7333333333333334,0.05173333333333333,0.13773333333333332,0.13773333333333332,0.11846666666666666,1.552,2.578,4.132,3.554
9527,SOD,"NA_English","NA_English",English,F,12,1,0.18953333333333333,0.21133333333333337,0.21133333333333337,0.08253333333333333,5.686,0.654,6.34,2.476
9732,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,4,5,0.13411111111111113,0.32611111111111113,0.32611111111111113,1.292888888888889,3.218666666666667,4.608,7.826666666666667,31.029333333333337
9755,WAR,"NA_English","NA_English",English,F,3,1.2666666666666666,0.02233333333333333,0.09513333333333332,0.09513333333333332,0.155,0.67,2.184,2.854,4.65
9801,ROW,UK_English,UK_English,British English,F,19,2.8666666666666667,0.23846666666666663,0.4534,0.4534,0.18806666666666663,7.154,6.446,13.602,5.642
9854,SOD,"NA_English","NA_English",English,M,17,1.9333333333333331,0.16853333333333334,0.17106666666666667,0.17106666666666667,0.17253333333333334,5.056,0.08,5.132,5.176
9858,SOD,"NA_English","NA_English",English,M,13,1.0666666666666669,0.085,0.09593333333333334,0.09593333333333334,0.06899999999999999,2.55,0.328,2.878,2.07
9909,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,6.866666666666666,0.08886666666666666,0.206,0.206,0.7975333333333333,2.666,3.512,6.18,23.926
