aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph,prop_tds,prop_ocds,prop_cds,prop_ads
1618,BER,"NA_English","NA_English",English,M,7,6,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,7,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,8,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,9,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1735,ROW,UK_English,UK_English,British English,F,21,1,2,1,0.287,0,0.287,0,8.61,0,8.61,0,0.5,0,0.5,0
1735,ROW,UK_English,UK_English,British English,F,21,10,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1735,ROW,UK_English,UK_English,British English,F,21,11,2,3,0.251,0.174,0.425,0.061,7.53,5.22,12.75,1.83,0.3405698778833107,0.2360922659430122,0.576662143826323,0.08276797829036635
1735,ROW,UK_English,UK_English,British English,F,21,12,2,2,0.054,0,0.054,0,1.62,0,1.62,0,0.5,0,0.5,0
1735,ROW,UK_English,UK_English,British English,F,21,13,2,1,0.04,0,0.04,0,1.2,0,1.2,0,0.5,0,0.5,0
1735,ROW,UK_English,UK_English,British English,F,21,14,2,2,0.402,0.113,0.515,0.156,12.06,3.39,15.45,4.68,0.3746505125815471,0.10531220876048462,0.4799627213420317,0.14538676607642126
1735,ROW,UK_English,UK_English,British English,F,21,15,2,1,0.017,0,0.017,0,0.51,0,0.51,0,0.5,0,0.5,0
1735,ROW,UK_English,UK_English,British English,F,21,2,2,2,0.013,0,0.013,0,0.39,0,0.39,0,0.5,0,0.5,0
1735,ROW,UK_English,UK_English,British English,F,21,3,2,2,0.388,0.038,0.426,0.113,11.64,1.14,12.78,3.39,0.418554476806904,0.04099244875943905,0.459546925566343,0.12189859762675297
1735,ROW,UK_English,UK_English,British English,F,21,4,2,2,0.33,0.434,0.764,0.319,9.9,13.02,22.92,9.57,0.2335456475583864,0.3071479122434536,0.5406935598018401,0.22576079263977353
1735,ROW,UK_English,UK_English,British English,F,21,5,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1735,ROW,UK_English,UK_English,British English,F,21,6,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1735,ROW,UK_English,UK_English,British English,F,21,7,2,4,0.246,0,0.246,0.317,7.38,0,7.38,9.51,0.30407911001236093,0,0.30407911001236093,0.39184177997527814
1735,ROW,UK_English,UK_English,British English,F,21,8,2,2,0.303,0,0.303,0.021,9.09,0,9.09,0.63,0.4832535885167464,0,0.4832535885167464,0.03349282296650718
1735,ROW,UK_English,UK_English,British English,F,21,9,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1768,ROW,UK_English,UK_English,British English,M,21,1,2,2,0.054,0,0.054,0.09,1.62,0,1.62,2.6999999999999997,0.27272727272727276,0,0.27272727272727276,0.4545454545454546
1768,ROW,UK_English,UK_English,British English,M,21,10,2,2,0,0,0,1.432,0,0,0,42.96,0,0,0,1
1768,ROW,UK_English,UK_English,British English,M,21,11,2,3,0.251,0.029,0.28,0.379,7.53,0.87,8.4,11.37,0.27582417582417584,0.03186813186813186,0.3076923076923077,0.4164835164835165
1768,ROW,UK_English,UK_English,British English,M,21,12,2,2,0.082,0,0.082,0,2.46,0,2.46,0,0.5,0,0.5,0
1768,ROW,UK_English,UK_English,British English,M,21,13,2,1,0.08,0,0.08,0.02,2.4,0,2.4,0.6,0.4444444444444445,0,0.4444444444444445,0.11111111111111112
1768,ROW,UK_English,UK_English,British English,M,21,14,2,6,0.18,0.041,0.222,0.17,5.3999999999999995,1.23,6.66,5.1000000000000005,0.3146853146853147,0.0716783216783217,0.3881118881118881,0.29720279720279724
1768,ROW,UK_English,UK_English,British English,M,21,15,2,3,0.271,0.024,0.294,0,8.13,0.72,8.82,0,0.47964601769911513,0.0424778761061947,0.5203539823008849,0
