aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip.st,SpkrType,tds_mph.st,cds_mph.st,ads_mph.st
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-9,8,13.928571428571429,8.62473932153252,3,Child,0,3.2880000000000003,3
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-9,8,13.928571428571429,8.62473932153252,1,Man,0,0,6.12
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-9,8,13.928571428571429,8.62473932153252,3,Woman,1.248,9.984,6.24
1156,UK_English,UK_English,ROW,1,25,13.928571428571429,8.62473932153252,1,Child,21.42,21.42,2.0700000000000003
1156,UK_English,UK_English,ROW,1,25,13.928571428571429,8.62473932153252,1,Man,0,0.21,0
1156,UK_English,UK_English,ROW,1,25,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1156,UK_English,UK_English,ROW,10,25,13.928571428571429,8.62473932153252,1,Child,0,0,0
1156,UK_English,UK_English,ROW,10,25,13.928571428571429,8.62473932153252,1,Man,0,1.17,7.62
1156,UK_English,UK_English,ROW,10,25,13.928571428571429,8.62473932153252,1,Woman,1.65,1.65,4.47
1156,UK_English,UK_English,ROW,11,25,13.928571428571429,8.62473932153252,1,Child,0,0,0.24
1156,UK_English,UK_English,ROW,11,25,13.928571428571429,8.62473932153252,1,Man,0,2.79,0
1156,UK_English,UK_English,ROW,11,25,13.928571428571429,8.62473932153252,1,Woman,14.16,14.16,0.15
1156,UK_English,UK_English,ROW,12,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,12,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,12,25,13.928571428571429,8.62473932153252,1,Woman,8.67,8.67,0.7799999999999999
1156,UK_English,UK_English,ROW,13,25,13.928571428571429,8.62473932153252,1,Child,0,0.48,10.08
1156,UK_English,UK_English,ROW,13,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,13,25,13.928571428571429,8.62473932153252,1,Woman,0,22.23,0
1156,UK_English,UK_English,ROW,14,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,14,25,13.928571428571429,8.62473932153252,1,Man,0,0,2.28
1156,UK_English,UK_English,ROW,14,25,13.928571428571429,8.62473932153252,1,Woman,5.76,5.76,2.13
1156,UK_English,UK_English,ROW,15,25,13.928571428571429,8.62473932153252,1,Child,0,0,0
1156,UK_English,UK_English,ROW,15,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,15,25,13.928571428571429,8.62473932153252,1,Woman,0,0.72,0
1156,UK_English,UK_English,ROW,2,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,2,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,2,25,13.928571428571429,8.62473932153252,1,Woman,6.39,6.39,0
1156,UK_English,UK_English,ROW,3,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,3,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,3,25,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1156,UK_English,UK_English,ROW,4,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,4,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,4,25,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1156,UK_English,UK_English,ROW,5,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,5,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,5,25,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1156,UK_English,UK_English,ROW,6,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,6,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,6,25,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1156,UK_English,UK_English,ROW,7,25,13.928571428571429,8.62473932153252,1,Child,0,0,20.49
1156,UK_English,UK_English,ROW,7,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,7,25,13.928571428571429,8.62473932153252,1,Woman,0.3,12.81,0
1156,UK_English,UK_English,ROW,8,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,8,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,8,25,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1156,UK_English,UK_English,ROW,9,25,13.928571428571429,8.62473932153252,0,Child,0,0,0
1156,UK_English,UK_English,ROW,9,25,13.928571428571429,8.62473932153252,0,Man,0,0,0
1156,UK_English,UK_English,ROW,9,25,13.928571428571429,8.62473932153252,4,Woman,0.8099999999999999,1.86,54.78
1196,NA_English,NA_English,BER,1,9,13.928571428571429,8.62473932153252,1,Child,0,0,12.63
1196,NA_English,NA_English,BER,1,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1196,NA_English,NA_English,BER,1,9,13.928571428571429,8.62473932153252,1,Woman,0,4.47,0
1196,NA_English,NA_English,BER,10,9,13.928571428571429,8.62473932153252,1,Child,0,0,9.48
1196,NA_English,NA_English,BER,10,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1196,NA_English,NA_English,BER,10,9,13.928571428571429,8.62473932153252,1,Woman,2.1599999999999997,4.5,0
1196,NA_English,NA_English,BER,11,9,13.928571428571429,8.62473932153252,0,Child,0,0,0
1196,NA_English,NA_English,BER,11,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1196,NA_English,NA_English,BER,11,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1196,NA_English,NA_English,BER,12,9,13.928571428571429,8.62473932153252,1,Child,0,0,0.48
1196,NA_English,NA_English,BER,12,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1196,NA_English,NA_English,BER,12,9,13.928571428571429,8.62473932153252,1,Woman,0,0,26.82
1196,NA_English,NA_English,BER,13,9,13.928571428571429,8.62473932153252,0,Child,0,0,0
1196,NA_English,NA_English,BER,13,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1196,NA_English,NA_English,BER,13,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1196,NA_English,NA_English,BER,14,9,13.928571428571429,8.62473932153252,1,Child,0,0,3.87
1196,NA_English,NA_English,BER,14,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
